pdb_id,interface_chain_id_1,interface_chain_id_2,interface_chain_type_1,interface_chain_type_2
8d9z-assembly1,A,C,protein,protein
8d9z-assembly1,B,C,protein,protein
9fww-assembly1,A,B,protein,protein
8vzo-assembly1,A,B,protein,protein
8vzo-assembly1,A,C,protein,protein
8the-assembly1,A,B,protein,protein
8sgn-assembly1,B,C,protein,protein
8sgn-assembly1,A,C,protein,protein
8jyr-assembly1,A,B,protein,protein
8jyr-assembly1,A,C,protein,protein
8jeo-assembly1,A,B,protein,protein
8jeo-assembly1,A,C,protein,protein
7yxu-assembly1,A,B,protein,protein
7yxu-assembly1,A,C,protein,protein
8yxi-assembly1,A,C,protein,protein
8yxi-assembly1,B,C,protein,protein
8fxv-assembly1,A,B,protein,protein
8vvl-assembly1,A,B,protein,protein
8vvl-assembly1,A,C,protein,protein
8vui-assembly1,B,C,protein,protein
8be3-assembly1,A,B,protein,protein
8be2-assembly1,A,B,protein,protein
9en2-assembly1,A,C,protein,protein
8en5-assembly1,A,C,protein,protein
9au1-assembly1,C,E,protein,protein
8weo-assembly1,A,B,protein,protein
8q7o-assembly1,A,C,protein,protein
7ucx-assembly1,A,B,protein,protein
7ucx-assembly1,A,C,protein,protein
8j7t-assembly1,A,B,protein,protein
8j7t-assembly1,A,C,protein,protein
8vyl-assembly1,A,F,protein,protein
8vyl-assembly1,C,F,protein,protein
7zau-assembly1,A,B,protein,protein
8c3l-assembly1,A,B,protein,protein
8sfz-assembly1,A,D,protein,protein
8slb-assembly1,A,B,protein,protein
8slb-assembly1,A,C,protein,protein
8av2-assembly1,A,C,protein,protein
8oxw-assembly1,A,B,protein,protein
8oxw-assembly1,A,C,protein,protein
8oxx-assembly1,A,B,protein,protein
8oxx-assembly1,A,C,protein,protein
8q6r-assembly1,A,D,protein,protein
8udz-assembly1,A,C,protein,protein
8udz-assembly1,A,D,protein,protein
8w84-assembly1,A,C,protein,protein
8oud-assembly1,A,D,protein,protein
8zp2-assembly1,A,B,protein,protein
8s0l-assembly1,A,B,protein,protein
8a67-assembly1,A,D,protein,protein
7yds-assembly1,A,C,protein,protein
8rp8-assembly1,A,C,protein,protein
8rp8-assembly1,B,C,protein,protein
8b1a-assembly1,A,B,protein,protein
8z8v-assembly1,A,B,protein,protein
8dtn-assembly1,A,B,protein,protein
8fym-assembly1,A,C,protein,protein
8r4u-assembly1,A,B,protein,protein
8trs-assembly1,A,C,protein,protein
8trs-assembly1,B,C,protein,protein
7z1x-assembly1,A,B,protein,protein
8gho-assembly1,A,C,protein,protein
7uvs-assembly1,A,C,protein,protein
7uvs-assembly1,B,C,protein,protein
8urf-assembly1,A,C,protein,protein
8urf-assembly1,B,C,protein,protein
8dn7-assembly1,A,C,protein,protein
8dn7-assembly1,A,F,protein,protein
8aon-assembly1,A,C,protein,protein
8aok-assembly1,A,B,protein,protein
8aom-assembly1,A,B,protein,protein
8im0-assembly1,A,B-2,protein,protein
8opr-assembly1,A,B,protein,protein
8h3x-assembly1,A,B,protein,protein
8oni-assembly1,A,F,protein,protein
8oni-assembly1,B,F,protein,protein
8oni-assembly1,B,E,protein,protein
8oni-assembly1,A,E,protein,protein
8ts0-assembly1,A,C,protein,protein
8ts0-assembly1,B,C,protein,protein
8b7h-assembly1,A,C,protein,protein
8b7h-assembly1,B,C,protein,protein
8acf-assembly1,A,B,protein,protein
8acf-assembly1,A,D,protein,protein
8t59-assembly1,A,E,protein,protein
8t59-assembly1,B,E,protein,protein
8v52-assembly1,A,E,protein,protein
8v52-assembly1,A,F,protein,protein
8che-assembly1,A,E,protein,protein
8che-assembly1,B,E,protein,protein
8w84-assembly1,A,D,protein,protein
8w84-assembly1,B,C,protein,protein
8w84-assembly1,B,D,protein,protein
8uky-assembly1,A,C,protein,protein
8uky-assembly1,B,C,protein,protein
8dcm-assembly1,A,C,protein,protein
8dcm-assembly1,B,C,protein,protein
8pn0-assembly1,A,E,protein,protein
8pn0-assembly1,B,E,protein,protein
8tft-assembly1,A,C,protein,protein
8tft-assembly1,B,C,protein,protein
8qz3-assembly1,A,C,protein,protein
8duz-assembly1,A,F,protein,protein
7zoz-assembly1,A,B,protein,protein
7zoz-assembly1,A,C,protein,protein
8f5i-assembly1,A,E,protein,protein
8f5i-assembly1,A,F,protein,protein
8f5n-assembly1,A,B,protein,protein
8f5n-assembly1,A,C,protein,protein
8ivx-assembly1,A,B,protein,protein
8ivx-assembly1,A,C,protein,protein
8et0-assembly1,A,C,protein,protein
8q3j-assembly1,A,B,protein,protein
8q3j-assembly1,A,C,protein,protein
8c5h-assembly1,A,B,protein,protein
